control_id	multi_group_events	eligible_events	eligible_folios	null_mobile_events	score_capacity	null_capacity
ABBREVIATION_HEAVY_MEDIEVAL	8396	6401	4	1406	POWERED	VARIABLE
ARBITRARY_LOCAL_CODEBOOK	8448	3443	176	202	POWERED	VARIABLE
AUGSBURG_ACCOUNTS_1402_1424	8446	7413	12	1147	POWERED	VARIABLE
COMPOSITIONAL_TECHNICAL_NOTATION	8448	3449	175	760	POWERED	VARIABLE
HYBRID_SHORTHAND	8448	3337	176	557	POWERED	VARIABLE
IFORAL_1395_1411_GRAPHEMATIC	6104	4303	6	799	POWERED	VARIABLE
LATIN_15C_GRAPHEMATIC	8448	4090	12	1032	POWERED	VARIABLE
LATIN_GERMAN_APOTHECARY_LATE15	1554	695	6	7	POWERED	DESCRIPTIVE_LOW_MOBILITY
LATIN_MEDICAL_GRAPHEMATIC	8448	4348	10	2179	POWERED	VARIABLE
LATIN_SCHOLASTIC_GRAPHEMATIC	8448	5700	6	3024	POWERED	VARIABLE
LEARNED_ABBREVIATION_MAP	8387	6656	4	8	POWERED	DESCRIPTIVE_LOW_MOBILITY
LEARNED_ABBREVIATION_SAMPLED	8389	6603	4	25	POWERED	DESCRIPTIVE_LOW_MOBILITY
ORDINARY_NATURAL_LANGUAGE	8374	6634	4	1193	POWERED	VARIABLE
STE1_DIPLOMATIC_RECIPES	111	50	2	0	UNSCORED_LT500	DESCRIPTIVE_LOW_MOBILITY
STE1_EXPANDED_RECIPES	111	52	2	0	UNSCORED_LT500	DESCRIPTIVE_LOW_MOBILITY
VOYNICH_REFERENCE	8439	6844	91	2215	POWERED	VARIABLE
