pair_id	arm	cut_ordinal	locus	group_index	surface	original_display_cut_offset	effective_display_cut_offset	original_offset_state	replacement_rule	source_sta_codes	canvas_id	full_image_url	full_image_sha256	localizer_a_crop_xywh	localizer_a_marker_x_in_crop	localizer_a_marker_y_range	localizer_b_crop_xywh	localizer_b_marker_x_in_crop	localizer_b_marker_y_range	localizer_a_full_x	localizer_b_full_x	absolute_delta_px	localizer_a_confidence	localizer_b_confidence	reconciliation_state	review_variant_count	localizer_a_crop_sha256	localizer_b_crop_sha256	provenance
G5P001	CONTROL	1	f114r.18	6	qodaiin	1	1	AT_STA_SIGN_BOUNDARY	NONE_ORIGINAL_OFFSET_ALREADY_AT_STA_BOUNDARY	D1 A1 B1 A3 G1	1006272	https://collections.library.yale.edu/iiif/2/1006272/full/full/0/default.jpg	fc76cfcb2e6f8911b3928c59772c9c4eca7854dd2a260bec81972f78b883aa37	1260,1490,260,100	115	8-92	1250,1480,280,110	50	4-106	1375	1300	75	LOW	LOW	DISAGREE_RETAIN_BOTH_VARIANTS	2	4a6eb816989fa5a68e7ab8ea91da22ae3af7913017041e19f99f2090f8b2b100	b62e015432a9c81d21629b71572e0625168be9ecd0948f36483a8d567702f123	AI_DIRECT_VISUAL_OBSERVATION_LOCALIZATION_ONLY
G5P001	CONTROL	2	f114r.18	6	qodaiin	5	4	INSIDE_ONE_STA_SIGN_REPLACED	NEAREST_INTERNAL_STA_BOUNDARY_PRECEDING_G1_IIN	D1 A1 B1 A3 G1	1006272	https://collections.library.yale.edu/iiif/2/1006272/full/full/0/default.jpg	fc76cfcb2e6f8911b3928c59772c9c4eca7854dd2a260bec81972f78b883aa37	1260,1490,260,100	185	8-92	1250,1480,280,110	155	4-106	1445	1405	40	LOW	LOW	AGREE_WITHIN_50PX	1	a93cebc072b7d3f9ffda4f5395135052bd2cd17c60941532f97354a0ec94b9b9	97812199bc4c3fc256ecc5aec9b846aa981064a012032df6aca2673ef7b9e345	AI_DIRECT_VISUAL_OBSERVATION_LOCALIZATION_ONLY
G5P001	TARGET	1	f114r.18	5	qoeeody	1	1	AT_STA_SIGN_BOUNDARY	NONE_ORIGINAL_OFFSET_ALREADY_AT_STA_BOUNDARY	D1 A1 K2 A1 B1 A2	1006272	https://collections.library.yale.edu/iiif/2/1006272/full/full/0/default.jpg	fc76cfcb2e6f8911b3928c59772c9c4eca7854dd2a260bec81972f78b883aa37	990,1490,250,100	70	8-92	1000,1480,240,110	60	4-106	1060	1060	0	MEDIUM	MEDIUM	AGREE_WITHIN_50PX	1	9195ae35a627ca750b25e10e4a9a07461bc5b8219889dd7c2da4382d1e0a9c8f	9dca868bbe3f1b5915023452b5b81159f49744a6624cf18b5e745c1ae3fc0936	AI_DIRECT_VISUAL_OBSERVATION_LOCALIZATION_ONLY
G5P001	TARGET	2	f114r.18	5	qoeeody	5	5	AT_STA_SIGN_BOUNDARY	NONE_ORIGINAL_OFFSET_ALREADY_AT_STA_BOUNDARY	D1 A1 K2 A1 B1 A2	1006272	https://collections.library.yale.edu/iiif/2/1006272/full/full/0/default.jpg	fc76cfcb2e6f8911b3928c59772c9c4eca7854dd2a260bec81972f78b883aa37	990,1490,250,100	146	8-92	1000,1480,240,110	136	4-106	1136	1136	0	MEDIUM	MEDIUM	AGREE_WITHIN_50PX	1	bbc87ed078d049ed22f2a540482b40c6f60d545859fc0e0c3c2618bff25e8bfb	3f43b8280fc9e0cbdd9f29d5c315c8a78131f967fc5bc18ad74463c844d4397f	AI_DIRECT_VISUAL_OBSERVATION_LOCALIZATION_ONLY
G5P002	CONTROL	1	f34v.4	2	chekal	1	2	INSIDE_ONE_STA_SIGN_REPLACED	NEAREST_INTERNAL_STA_BOUNDARY_FOLLOWING_K1_CH	K1 J1 Q1 A3 B2	1006141	https://collections.library.yale.edu/iiif/2/1006141/full/full/0/default.jpg	2f68183982075a405f7e2cc11ea06b76b263f80f20f01083279e7f03dcb4f78a	650,600,260,100	80	8-92	970,635,220,110	60	4-106	730	1030	300	LOW	LOW	DISAGREE_RETAIN_BOTH_VARIANTS	2	5312f44740caf6071d47cf57869ba758b73f3b47b87779596e9b8a26b406f554	5a70963ae9a418ea6ab1c757c4234ad9537946f2aaa440c93b94c27beb70ff0a	AI_DIRECT_VISUAL_OBSERVATION_LOCALIZATION_ONLY
G5P002	CONTROL	2	f34v.4	2	chekal	3	3	AT_STA_SIGN_BOUNDARY	NONE_ORIGINAL_OFFSET_ALREADY_AT_STA_BOUNDARY	K1 J1 Q1 A3 B2	1006141	https://collections.library.yale.edu/iiif/2/1006141/full/full/0/default.jpg	2f68183982075a405f7e2cc11ea06b76b263f80f20f01083279e7f03dcb4f78a	650,600,260,100	115	8-92	970,635,220,110	85	4-106	765	1055	290	LOW	LOW	DISAGREE_RETAIN_BOTH_VARIANTS	2	b63a16261c08e64523537c19590432e670223bbbd371473bddc8f4512b65bb18	d8385eb9c60d18c7f19a5d29d7e19942cbc612c772ec70d49481e21a6c63fd79	AI_DIRECT_VISUAL_OBSERVATION_LOCALIZATION_ONLY
G5P002	TARGET	1	f34v.4	7	qoldar	1	1	AT_STA_SIGN_BOUNDARY	NONE_ORIGINAL_OFFSET_ALREADY_AT_STA_BOUNDARY	D1 A1 B2 B1 A3 C1	1006141	https://collections.library.yale.edu/iiif/2/1006141/full/full/0/default.jpg	2f68183982075a405f7e2cc11ea06b76b263f80f20f01083279e7f03dcb4f78a	1700,600,300,100	60	8-92	2035,635,215,110	55	4-106	1760	2090	330	LOW	LOW	DISAGREE_RETAIN_BOTH_VARIANTS	2	aa66408e58337734b591953ed7bbf30bf986327fd809b5a84764a2375399d265	0598250c9753ecd852363b389c653dd0d1cc17a4f394ad58ad4d90ba4b5de9b6	AI_DIRECT_VISUAL_OBSERVATION_LOCALIZATION_ONLY
G5P002	TARGET	2	f34v.4	7	qoldar	3	3	AT_STA_SIGN_BOUNDARY	NONE_ORIGINAL_OFFSET_ALREADY_AT_STA_BOUNDARY	D1 A1 B2 B1 A3 C1	1006141	https://collections.library.yale.edu/iiif/2/1006141/full/full/0/default.jpg	2f68183982075a405f7e2cc11ea06b76b263f80f20f01083279e7f03dcb4f78a	1700,600,300,100	145	8-92	2035,635,215,110	107	4-106	1845	2142	297	LOW	LOW	DISAGREE_RETAIN_BOTH_VARIANTS	2	7255a7452f045006502dc9cc0246e4a685f0569baf8b446d37c6480e683ab4b0	20e4111820c2e7b3c075d3b326f7a82a09742260651744bdbf04f86d2161014e	AI_DIRECT_VISUAL_OBSERVATION_LOCALIZATION_ONLY
G5P003	CONTROL	1	f37v.1	2	qocthy	1	1	AT_STA_SIGN_BOUNDARY	NONE_ORIGINAL_OFFSET_ALREADY_AT_STA_BOUNDARY	D1 A1 U2 A2	1006147	https://collections.library.yale.edu/iiif/2/1006147/full/full/0/default.jpg	56d2086b7ce7a126a494d472276b0f5fe025775604a9afd55e5bd8e2ef6f8649	1050,520,300,110	70	8-102	1080,535,260,115	60	4-111	1120	1140	20	LOW	LOW	AGREE_WITHIN_50PX	1	9c41f2a0fb30606d3486b39fe7c6ec2532fa96754dd58dd2d96163480a59b889	06de29c9d4b175f43b7d9c0fc995287ffa22632a978e78ef9cceab1e4726a92c	AI_DIRECT_VISUAL_OBSERVATION_LOCALIZATION_ONLY
G5P003	CONTROL	2	f37v.1	2	qocthy	4	5	INSIDE_ONE_STA_SIGN_REPLACED	NEAREST_INTERNAL_STA_BOUNDARY_FOLLOWING_U2_CTH	D1 A1 U2 A2	1006147	https://collections.library.yale.edu/iiif/2/1006147/full/full/0/default.jpg	56d2086b7ce7a126a494d472276b0f5fe025775604a9afd55e5bd8e2ef6f8649	1050,520,300,110	220	8-102	1080,535,260,115	200	4-111	1270	1280	10	LOW	LOW	AGREE_WITHIN_50PX	1	24935c357310de7eb072bb7e3b076cb10105553d4377da20617de09e687b5641	1b77c5bd8d93b5ae0f51855019ffa5d1adb69ec6b54bcffaa0e2e1befe711f7d	AI_DIRECT_VISUAL_OBSERVATION_LOCALIZATION_ONLY
